airport,date,hour,temperature_2m,precipitation,snowfall,wind_speed_10m,wind_gusts_10m,cloud_cover
TUN,2016-08-07,11,27.1,0.0,0.0,24.8,47.2,37
TUN,2016-08-09,13,29.7,0.0,0.0,12.7,29.2,0
TUN,2016-08-12,6,21.2,0.0,0.0,17.3,31.3,12
TUN,2016-08-12,7,21.9,0.0,0.0,17.6,32.0,11
TUN,2016-08-20,5,24.3,0.0,0.0,7.9,14.4,0
TUN,2016-08-20,8,26.9,0.0,0.0,5.8,14.4,0
TUN,2016-08-20,9,29.2,0.0,0.0,5.2,15.1,0
TUN,2016-05-30,6,18.0,0.0,0.0,13.7,20.2,62
TUN,2016-01-04,12,18.7,0.0,0.0,16.6,29.5,78
TUN,2016-01-14,11,14.4,0.0,0.0,14.4,28.8,16
TUN,2016-01-15,6,12.5,0.0,0.0,9.5,17.6,67
TUN,2016-01-30,8,11.0,0.0,0.0,7.6,13.7,100
TUN,2016-02-12,16,19.5,0.0,0.0,16.3,39.6,53
TUN,2016-02-18,11,13.7,0.0,0.0,27.6,50.0,45
TUN,2016-02-20,8,10.4,0.0,0.0,12.0,20.5,26
TUN,2016-03-01,14,13.4,0.0,0.0,36.4,70.2,81
TUN,2016-03-02,12,15.6,0.0,0.0,35.1,66.2,62
TUN,2016-05-31,6,17.8,0.0,0.0,3.3,5.8,70
TUN,2016-06-10,14,25.9,0.0,0.0,19.8,40.3,22
TUN,2016-06-09,14,26.6,0.0,0.0,9.4,30.2,36
TUN,2016-06-10,13,26.1,0.0,0.0,18.9,39.2,68
TUN,2016-06-16,8,25.0,0.0,0.0,9.8,20.5,20
TUN,2016-06-16,9,26.5,0.0,0.0,10.2,21.6,68
TUN,2016-07-09,13,32.1,0.0,0.0,8.3,21.2,1
TUN,2016-07-31,17,32.1,0.0,0.0,11.8,21.2,0
