airport,month,band,prob,label,wx_wind_gust,wx_precip,wx_snow,wx_adverse
MXP,3,calm,0.879,Clear,15.8,0.0,0.0,0
MXP,3,rough,0.1147,Drizzle,30.6,0.7,0.0,1
MXP,3,severe,0.0063,Heavy snow,23.4,3.5,1.19,1
MXP,4,calm,0.8458,Overcast,17.3,0.0,0.0,0
MXP,4,rough,0.1486,Strong wind,51.8,0.0,0.0,1
MXP,4,severe,0.0056,Gale-force wind,83.2,0.0,0.0,1
MXP,5,calm,0.8383,Drizzle,13.3,0.1,0.0,0
MXP,5,rough,0.1591,Drizzle,37.4,0.6,0.0,1
MXP,5,severe,0.0027,Rain + strong wind,43.9,5.0,0.0,1
MXP,6,calm,0.8782,Clear,15.8,0.0,0.0,0
MXP,6,rough,0.1144,Drizzle + strong wind,45.0,0.5,0.0,1
MXP,6,severe,0.0074,Rain,33.5,6.2,0.0,1
MXP,7,calm,0.9082,Partly cloudy,15.1,0.0,0.0,0
MXP,7,rough,0.086,Drizzle,25.6,1.0,0.0,1
MXP,7,severe,0.0058,Heavy rain,38.5,7.9,0.0,1
MXP,8,calm,0.9167,Partly cloudy,16.2,0.0,0.0,0
MXP,8,rough,0.0793,Drizzle,29.2,0.7,0.0,1
MXP,8,severe,0.004,Heavy rain,26.3,8.7,0.0,1
MXP,9,calm,0.9213,Partly cloudy,14.4,0.0,0.0,0
MXP,9,rough,0.075,Strong wind,50.0,0.0,0.0,1
MXP,9,severe,0.0037,Gale-force wind,70.2,0.0,0.0,1
MXP,10,calm,0.8808,Clear,13.3,0.0,0.0,0
MXP,10,rough,0.1075,Drizzle,11.2,1.2,0.0,1
MXP,10,severe,0.0116,Light rain + strong wind,65.2,1.7,0.0,1
MXP,11,calm,0.8269,Overcast,12.6,0.0,0.0,0
MXP,11,rough,0.1648,Strong wind,60.1,0.0,0.0,1
MXP,11,severe,0.0083,Rain,26.6,5.8,0.0,1
MXP,12,calm,0.9386,Partly cloudy,12.2,0.0,0.0,0
MXP,12,rough,0.0614,Strong wind,52.2,0.0,0.0,1
NCE,1,calm,0.858,Partly cloudy,19.1,0.0,0.0,0
NCE,1,rough,0.1344,Strong wind,51.5,0.0,0.0,1
NCE,1,severe,0.0076,Drizzle + strong wind,66.2,0.2,0.0,1
NCE,2,calm,0.8471,Clear,18.7,0.0,0.0,0
NCE,2,rough,0.1495,Strong wind,54.7,0.0,0.0,1
NCE,2,severe,0.0034,Snow + strong wind,70.6,1.9,0.28,1
NCE,3,calm,0.8459,Partly cloudy,19.1,0.0,0.0,0
NCE,3,rough,0.1461,Strong wind,56.5,0.0,0.0,1
NCE,3,severe,0.0081,Gale-force wind,71.3,0.0,0.0,1
NCE,4,calm,0.9032,Clear,19.1,0.0,0.0,0
NCE,4,rough,0.0921,Drizzle + strong wind,47.5,0.2,0.0,1
NCE,4,severe,0.0046,Drizzle + strong wind,69.1,0.1,0.0,1
NCE,5,calm,0.9023,Clear,19.1,0.0,0.0,0
NCE,5,rough,0.0972,Strong wind,50.4,0.0,0.0,1
